method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Late fusion + SyncNet,4,0,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,5,0,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,0,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,1,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,2,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,3,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,4,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,5,2,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,0,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,1,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,2,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,3,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,4,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
Late fusion + SyncNet,5,4,,,,,dair_late_fusion_ours_syncnet,fill metric columns after experiment completes
